Date, OperationType, DocumentType, PolicyNumber
2023-11-24T17:28:52+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001527433
2023-11-24T17:22:56+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001886536
2023-11-24T17:19:40+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001527433
2023-11-24T17:16:20+00:00,Received message ,DIRECT_DEBIT_MANDATE_CANCELLED_EVENT, P0001501275
2023-11-24T17:07:54+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 92744328
2023-11-24T17:03:55+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001515893
2023-11-24T17:01:12+00:00,Received message ,RECURRING_PAYMENT_FAILED_EVENT, 80094906
2023-11-24T16:58:25+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 89532449
2023-11-24T16:56:11+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 85547126
2023-11-24T16:56:09+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001710366
2023-11-24T16:56:07+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 81346268
2023-11-24T16:52:41+00:00,Received message ,RECURRING_PAYMENT_FAILED_EVENT, 85717968
2023-11-24T16:50:25+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94574510
2023-11-24T16:50:23+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 46375843
2023-11-24T16:43:24+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 35166009
2023-11-24T16:36:04+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 89189303
2023-11-24T16:32:13+00:00,Received message ,CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT, P0001588753
2023-11-24T16:29:46+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94383736
2023-11-24T16:29:46+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0000917900
2023-11-24T16:23:42+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 65696401
2023-11-24T16:23:40+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 57331727
2023-11-24T16:23:40+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 59203230
2023-11-24T16:23:36+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 88114261
2023-11-24T16:23:36+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 46475536
2023-11-24T16:15:46+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 83464172
2023-11-24T16:10:15+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 89121989
2023-11-24T16:09:10+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001436128
2023-11-24T16:08:35+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 88542264
2023-11-24T16:06:25+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 86089013
2023-11-24T16:02:02+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90209834
2023-11-24T16:02:02+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 90209834
2023-11-24T15:55:37+00:00,Received message ,CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT, P0001642032
2023-11-24T15:54:24+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001237066
2023-11-24T15:53:51+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94616900
2023-11-24T15:49:13+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 79358193
2023-11-24T15:44:52+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93935637
2023-11-24T15:44:36+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93935637
2023-11-24T15:41:28+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 54154573
2023-11-24T15:41:28+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94835560
2023-11-24T15:34:53+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 90925502
2023-11-24T15:28:01+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001618383
2023-11-24T15:17:19+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 88306654
2023-11-24T15:08:42+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001566673
2023-11-24T15:06:50+00:00,Received message ,DIRECT_DEBIT_MANDATE_CANCELLED_EVENT, 46289566
2023-11-24T15:04:13+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001143924
2023-11-24T15:01:15+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001558802
2023-11-24T15:01:13+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001606231
2023-11-24T14:54:55+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93839330
2023-11-24T14:52:03+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 91666259
2023-11-24T14:49:40+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 75864662
2023-11-24T14:49:40+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 76533728
2023-11-24T14:46:27+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94537026
2023-11-24T14:46:25+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001373068
2023-11-24T14:41:54+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93849484
2023-11-24T14:40:39+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001623179
2023-11-24T14:40:37+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 93992325
2023-11-24T14:40:37+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 80322927
2023-11-24T14:37:45+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001623179
2023-11-24T14:32:18+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 74384154
2023-11-24T14:32:16+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001522652
2023-11-24T14:32:16+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 54832253
2023-11-24T14:30:09+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001092756
2023-11-24T14:28:58+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 92953106
2023-11-24T14:28:58+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 90780225
2023-11-24T14:25:35+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 83996012
2023-11-24T14:25:35+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94493308
2023-11-24T14:18:54+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90644923
2023-11-24T14:10:12+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 74434488
2023-11-24T14:10:12+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 80634445
2023-11-24T14:07:53+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90644923
2023-11-24T14:05:59+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 74532526
2023-11-24T14:01:35+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001541526
2023-11-24T14:01:31+00:00,Received message ,CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT, P0001624333
2023-11-24T14:00:11+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 89908285
2023-11-24T14:00:03+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 93327778
2023-11-24T13:53:38+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0000935149
2023-11-24T13:46:19+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 93682780
2023-11-24T13:46:19+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 41765762
2023-11-24T13:46:17+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 93252725
2023-11-24T13:40:59+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001222413
2023-11-24T13:39:58+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94469021
2023-11-24T13:39:56+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001576118
2023-11-24T13:35:00+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 74000607
2023-11-24T13:34:51+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93687262
2023-11-24T13:31:16+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 74000607
2023-11-24T13:31:11+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 65516764
2023-11-24T13:23:58+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001643599
2023-11-24T13:19:49+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 92310390
2023-11-24T13:16:13+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001613482
2023-11-24T13:13:23+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 54209158
2023-11-24T13:12:36+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90560561
2023-11-24T13:07:54+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 88327279
2023-11-24T13:05:25+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 65970316
2023-11-24T13:05:23+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90560561
2023-11-24T13:05:21+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93359272
2023-11-24T13:01:52+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 63339693
2023-11-24T13:01:50+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001590359
2023-11-24T13:01:48+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001444784
2023-11-24T12:59:43+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 90560561
2023-11-24T12:56:26+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 91640552
2023-11-24T12:47:43+00:00,Received message ,CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT, P0001643721
2023-11-24T12:39:13+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 81878692
2023-11-24T12:39:05+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 44458459
2023-11-24T12:39:05+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 78402532
2023-11-24T12:36:37+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 93272946
2023-11-24T12:31:09+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 89305221
2023-11-24T12:29:34+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 92229124
2023-11-24T12:25:21+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 86601707
2023-11-24T12:20:42+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 91327148
2023-11-24T12:18:27+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001533725
2023-11-24T12:18:23+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 83399697
2023-11-24T12:15:33+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 39992982
2023-11-24T12:08:18+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 88533775
2023-11-24T12:04:59+00:00,Received message ,DIRECT_DEBIT_MANDATE_CANCELLED_EVENT, 89948036
2023-11-24T12:01:43+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001332212
2023-11-24T11:55:06+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001041370
2023-11-24T11:55:04+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 84714934
2023-11-24T11:49:57+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 90241729
2023-11-24T11:42:57+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001490565
2023-11-24T11:42:08+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 76607340
2023-11-24T11:42:06+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001605312
2023-11-24T11:38:57+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001278699
2023-11-24T11:37:04+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001207904
2023-11-24T11:31:14+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001305848
2023-11-24T11:27:04+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, P0001884168
2023-11-24T11:21:02+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 77088036
2023-11-24T11:05:56+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 73859263
2023-11-24T10:55:14+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 43892674
2023-11-24T10:52:39+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 77557356
2023-11-24T10:43:29+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 64790054
2023-11-24T10:43:21+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001663215
2023-11-24T10:42:44+00:00,Received message ,CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT, P0001632778
2023-11-24T10:39:11+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94305083
2023-11-24T10:37:14+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001341348
2023-11-24T10:36:11+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94305083
2023-11-24T10:34:57+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001214454
2023-11-24T10:34:55+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 94305083
2023-11-24T10:34:04+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0000996561
2023-11-24T10:33:22+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0001318100
2023-11-24T10:33:22+00:00,Received message ,DELINQUENCY_COVERED_EVENT, P0000909662
2023-11-24T10:30:11+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 79526133
2023-11-24T10:27:52+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 88264447
2023-11-24T10:27:01+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 94201878
2023-11-24T10:26:07+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 88264447
2023-11-24T10:23:12+00:00,Received message ,GENERIC_BILLING_DOC_EVENT, 85894495
2023-11-24T10:22:13+00:00,Received message ,DELINQUENCY_COVERED_EVENT, 46125905
2023-11-24T10:18:37+00:00,Received message ,DIRECT_DEBIT_MANDATE_CANCELLED_EVENT, P0001839457
2023-11-24T10:11:40+00:00,Received message ,DIRECT_DEBIT_MANDATE_CANCELLED_EVENT, P0001840151
