Date, OperationType, DocumentType, PolicyNumber, Topic
2023-11-24T17:28:53+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001527433 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T17:22:56+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001886536 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T17:19:40+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , P0001527433 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T17:16:20+00:00,Successfully sent, DIRECT_DEBIT_MANDATE_CANCELLED_EVENT , P0001501275 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.1 .
2023-11-24T17:07:54+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 92744328 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T17:03:56+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001515893 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:56:09+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001710366 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:50:25+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94574510 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:50:23+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 46375843 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:32:13+00:00,Successfully sent, CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT , P0001588753 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:29:46+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94383736 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:29:46+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0000917900 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:23:42+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 65696401 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:23:41+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 57331727 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:23:40+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 59203230 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:23:36+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 88114261 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:23:36+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 46475536 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:15:46+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 83464172 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:10:15+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 89121989 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:09:10+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001436128 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:08:35+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 88542264 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T16:02:02+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 90209834 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:55:38+00:00,Successfully sent, CONFIRMATION_OF_PAYMENT_EXTENSION_EVENT , P0001642032 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:54:24+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001237066 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:53:51+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94616900 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:49:13+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 79358193 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:44:52+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93935637 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:44:36+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 93935637 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:41:28+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 94835560 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:34:53+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , 90925502 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:28:02+00:00,Successfully sent, DELINQUENCY_COVERED_EVENT , P0001618383 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
2023-11-24T15:17:19+00:00,Successfully sent, GENERIC_BILLING_DOC_EVENT , 88306654 , awie.cck.g3.prod.esure.billing.events.DocumentEvent.2 .
